root,stat,count,mean_dist,avg_prize_in_bin,sum_prize_in_bin,num_terms,cum_prize,per_%_total_prize,cum_%_total_prize,roots_in_bin
1380,"(5.65, 8.3]",16.0,25.6,1.7457500000000001,27.932000000000002,16.0,46.393,8.000297877337552,13.287907039357044,0.0
1380,"(8.3, 10.95]",6.0,25.6,2.1203333333333334,12.722000000000001,6.0,59.115,3.6438418156769417,16.931748855033987,2.0
1380,"(10.95, 13.6]",9.0,25.6,1.2658888888888888,11.392999999999999,9.0,70.508,3.2631889487507775,20.19493780378476,1.0
1380,"(13.6, 16.25]",19.0,25.6,0.775578947368421,14.735999999999999,19.0,85.244,4.220692736662112,24.415630540446877,1.0
1380,"(16.25, 18.9]",21.0,25.6,1.4513809523809524,30.479,21.0,115.723,8.729810933816811,33.145441474263684,2.0
1380,"(18.9, 21.55]",32.0,25.6,0.7935625000000001,25.394000000000002,32.0,141.117,7.27336260551016,40.41880407977384,2.0
1380,"(21.55, 24.2]",40.0,25.6,1.120475,44.819,40.0,185.93599999999998,12.837081145796638,53.25588522557047,8.0
1380,"(24.2, 26.85]",24.0,25.6,1.0225416666666667,24.541,24.0,210.47699999999998,7.029045904616241,60.28493113018673,3.0
1380,"(26.85, 29.5]",17.0,25.6,1.2690000000000001,21.573,17.0,232.04999999999998,6.1789498105328295,66.46388094071955,2.0
1380,"(29.5, 32.15]",20.0,25.6,0.9661500000000001,19.323,20.0,251.373,5.534503647565284,71.99838458828484,1.0
1380,"(32.15, 34.8]",5.0,25.6,2.2264,11.132,5.0,262.505,3.188433193846542,75.18681778213137,0.0
1380,"(34.8, 37.45]",13.0,25.6,1.0242307692307693,13.315,13.0,275.82,3.8136891821834986,79.00050696431488,1.0
1380,"(37.45, 40.1]",12.0,25.6,2.5298333333333334,30.358,12.0,306.178,8.695154051275003,87.69566101558989,0.0
1380,"(40.1, 42.75]",4.0,25.6,1.21775,4.871,4.0,311.049,1.395154337695518,89.0908153532854,1.0
1380,"(42.75, 45.4]",12.0,25.6,1.2751666666666666,15.302,12.0,326.351,4.382806749213061,93.47362210249847,1.0
1380,"(45.4, 48.05]",3.0,25.6,1.2813333333333334,3.8440000000000003,3.0,330.195,1.1010004668654427,94.5746225693639,0.0
1380,"(48.05, 50.7]",5.0,25.6,1.2958,6.479,5.0,336.674,1.8557185288296574,96.43034109819355,2.0
1380,"(50.7, 53.35]",8.0,25.6,0.687625,5.501,8.0,342.17499999999995,1.5755992633264309,98.00594036151999,0.0
1380,"(53.35, 56.0]",6.0,25.6,1.1603333333333332,6.962,6.0,349.13699999999994,1.9940596384800238,100.0,0.0
1380,3.0-56.0,280.0,25.6,1.246917857142857,349.13699999999994,280.0,349.13699999999994,100.0,100.0,29.0
1604,5-num Summary,280.0,27.303571428571427,,,280.0,,,,
1604,"(4.0, 6.25]",1.0,27.303571428571427,0.901,0.901,1.0,0.901,0.1976418974499589,0.1976418974499589,0.0
1604,"(6.25, 8.5]",3.0,27.303571428571427,4.120666666666667,12.362,3.0,13.263,2.711708253358925,2.909350150808884,1.0
1604,"(8.5, 10.75]",7.0,27.303571428571427,3.9182857142857146,27.428,7.0,40.691,6.016561557444476,8.92591170825336,1.0
1604,"(10.75, 13.0]",16.0,27.303571428571427,3.3674375,53.879,16.0,94.57,11.818809980806142,20.7447216890595,2.0
1604,"(13.0, 15.25]",16.0,27.303571428571427,1.4673749999999999,23.477999999999998,16.0,118.04799999999999,5.1500959692898265,25.89481765834932,2.0
